,celltypes_fine,celltypes_coarse
7230-0,Schwann cells,Schwann cells
7233-0,Beta cells,Endocrine cells
7238-0,Ductal cells,Ductal cells
7246-0,Endothelial cells,Endothelial cells
7274-0,T cells,Lymphocytes
7280-0,Classical_TFF1,Classical PDAC
7298-0,Beta cells,Endocrine cells
7300-0,Acinar cells,Acinar cells
7305-0,Classical_KRT7,Classical PDAC
7351-0,iCAF,Fibroblasts
7365-0,Classical_CEACAM,Classical PDAC
7370-0,Acinar cells,Acinar cells
7401-0,Basal,Basal-like PDAC
7402-0,Ductal cells,Ductal cells
7421-0,Classical_REG4,Classical PDAC
7425-0,myCAF_POSTN,Fibroblasts
7433-0,Endothelial cells,Endothelial cells
7444-0,Acinar cells,Acinar cells
7471-0,Ductal cells,Ductal cells
7495-0,Endothelial cells,Endothelial cells
7499-0,Classical_TFF1,Classical PDAC
7509-0,Classical_CEACAM,Classical PDAC
7510-0,NK cells,Lymphocytes
7518-0,T cells,Lymphocytes
7525-0,Classical_TFF1,Classical PDAC
7529-0,iCAF,Fibroblasts
7532-0,Alpha cells,Endocrine cells
7542-0,NK cells,Lymphocytes
7554-0,T cells,Lymphocytes
7560-0,Classical_KRT7,Classical PDAC
7561-0,Endothelial cells,Endothelial cells
7570-0,Endothelial cells,Endothelial cells
7571-0,Classical_CEACAM,Classical PDAC
7579-0,Ductal cells,Ductal cells
7583-0,Acinar cells,Acinar cells
7590-0,Macrophages_M2,Macrophages
7595-0,Endothelial cells,Endothelial cells
7605-0,B cells,Lymphocytes
7614-0,Ductal cells,Ductal cells
7650-0,Endothelial cells,Endothelial cells
7655-0,Schwann cells,Schwann cells
7682-0,Ductal cells,Ductal cells
7687-0,myCAF_POSTN,Fibroblasts
7706-0,Classical_CEACAM,Classical PDAC
7711-0,Ductal cells,Ductal cells
7714-0,Ductal cells,Ductal cells
7722-0,Basal,Basal-like PDAC
7743-0,Classical_CEACAM,Classical PDAC
7749-0,Classical_KRT7,Classical PDAC
7760-0,myCAF_ACTA2,Fibroblasts
7769-0,Ductal cells,Ductal cells
7778-0,Ductal cells,Ductal cells
7794-0,Ductal cells,Ductal cells
7826-0,Ductal cells,Ductal cells
7837-0,Classical_CEACAM,Classical PDAC
7841-0,T cells,Lymphocytes
7848-0,Ductal cells,Ductal cells
7853-0,Ductal cells,Ductal cells
7859-0,Beta cells,Endocrine cells
7866-0,Basal,Basal-like PDAC
7923-0,myCAF_POSTN,Fibroblasts
7931-0,Alpha cells,Endocrine cells
7932-0,Acinar cells,Acinar cells
7933-0,Classical_KRT7,Classical PDAC
7940-0,Classical_TFF1,Classical PDAC
7941-0,T cells,Lymphocytes
7948-0,B cells,Lymphocytes
7960-0,Classical_TFF1,Classical PDAC
7962-0,Classical_KRT7,Classical PDAC
7963-0,Macrophages_M2,Macrophages
7974-0,Ductal cells,Ductal cells
7981-0,myCAF_POSTN,Fibroblasts
7992-0,Classical_TFF1,Classical PDAC
8005-0,Ductal cells,Ductal cells
8008-0,B cells,Lymphocytes
8016-0,myCAF_POSTN,Fibroblasts
8023-0,Classical_CEACAM,Classical PDAC
8032-0,Classical_CEACAM,Classical PDAC
8038-0,Classical_KRT7,Classical PDAC
8047-0,Classical_REG4,Classical PDAC
8082-0,Acinar cells,Acinar cells
8083-0,Beta cells,Endocrine cells
8136-0,Acinar cells,Acinar cells
8141-0,Schwann cells,Schwann cells
8156-0,T cells,Lymphocytes
8166-0,Classical_CEACAM,Classical PDAC
8188-0,Ductal cells,Ductal cells
8193-0,B cells,Lymphocytes
8227-0,Alpha cells,Endocrine cells
8228-0,Ductal cells,Ductal cells
8231-0,myCAF_POSTN,Fibroblasts
8233-0,Ductal cells,Ductal cells
8257-0,Classical_CEACAM,Classical PDAC
8263-0,Ductal cells,Ductal cells
8264-0,Ductal cells,Ductal cells
8273-0,Classical_TFF1,Classical PDAC
8274-0,Macrophages_M1,Macrophages
8278-0,Alpha cells,Endocrine cells
8279-0,Classical_CEACAM,Classical PDAC
8290-0,iCAF,Fibroblasts
8307-0,B cells,Lymphocytes
8308-0,Classical_KRT7,Classical PDAC
8309-0,Endothelial cells,Endothelial cells
8315-0,Ductal cells,Ductal cells
8317-0,Classical_TFF1,Classical PDAC
8322-0,Ductal cells,Ductal cells
8362-0,Ductal cells,Ductal cells
8363-0,Classical_TFF1,Classical PDAC
8379-0,Alpha cells,Endocrine cells
8391-0,Ductal cells,Ductal cells
8399-0,Endothelial cells,Endothelial cells
8402-0,T cells,Lymphocytes
8421-0,Classical_KRT7,Classical PDAC
8431-0,Alpha cells,Endocrine cells
8445-0,NK cells,Lymphocytes
8469-0,Endothelial cells,Endothelial cells
8512-0,Endothelial cells,Endothelial cells
8544-0,Schwann cells,Schwann cells
8545-0,Beta cells,Endocrine cells
8549-0,Schwann cells,Schwann cells
8552-0,T cells,Lymphocytes
8577-0,Classical_REG4,Classical PDAC
8584-0,Schwann cells,Schwann cells
8592-0,B cells,Lymphocytes
8624-0,Macrophages_M2,Macrophages
8634-0,Acinar cells,Acinar cells
8645-0,Basal,Basal-like PDAC
8648-0,Classical_TFF1,Classical PDAC
8672-0,Beta cells,Endocrine cells
8686-0,Endothelial cells,Endothelial cells
8690-0,Endothelial cells,Endothelial cells
8692-0,Schwann cells,Schwann cells
8694-0,Classical_TFF1,Classical PDAC
8699-0,Classical_TFF1,Classical PDAC
8703-0,Acinar cells,Acinar cells
8711-0,Endothelial cells,Endothelial cells
8714-0,Classical_CEACAM,Classical PDAC
8727-0,NK cells,Lymphocytes
8757-0,Classical_KRT7,Classical PDAC
8760-0,Acinar cells,Acinar cells
8766-0,Classical_TFF1,Classical PDAC
8792-0,Ductal cells,Ductal cells
8800-0,Classical_TFF1,Classical PDAC
8802-0,Ductal cells,Ductal cells
8859-0,Classical_CEACAM,Classical PDAC
8860-0,Endothelial cells,Endothelial cells
8879-0,B cells,Lymphocytes
8883-0,Beta cells,Endocrine cells
8907-0,Classical_TFF1,Classical PDAC
8913-0,Acinar cells,Acinar cells
8920-0,myCAF_POSTN,Fibroblasts
8924-0,Acinar cells,Acinar cells
8940-0,Beta cells,Endocrine cells
8954-0,Beta cells,Endocrine cells
8966-0,Beta cells,Endocrine cells
8970-0,Beta cells,Endocrine cells
8974-0,Classical_TFF1,Classical PDAC
8989-0,Basal,Basal-like PDAC
8994-0,Classical_KRT7,Classical PDAC
9008-0,Beta cells,Endocrine cells
9009-0,Schwann cells,Schwann cells
9013-0,Ductal cells,Ductal cells
9049-0,Delta cells,Endocrine cells
9058-0,Classical_KRT7,Classical PDAC
9067-0,NK cells,Lymphocytes
9070-0,myCAF_ACTA2,Fibroblasts
9079-0,Classical_CEACAM,Classical PDAC
9080-0,Beta cells,Endocrine cells
9082-0,Classical_TFF1,Classical PDAC
9104-0,Ductal cells,Ductal cells
9105-0,Ductal cells,Ductal cells
9110-0,myCAF_POSTN,Fibroblasts
9111-0,NK cells,Lymphocytes
9112-0,Ductal cells,Ductal cells
9119-0,Beta cells,Endocrine cells
9177-0,Classical_TFF1,Classical PDAC
9187-0,Classical_CEACAM,Classical PDAC
9195-0,Beta cells,Endocrine cells
9207-0,Endothelial cells,Endothelial cells
9214-0,Ductal cells,Ductal cells
9231-0,Beta cells,Endocrine cells
9234-0,B cells,Lymphocytes
9244-0,Ductal cells,Ductal cells
9253-0,Ductal cells,Ductal cells
9269-0,Acinar cells,Acinar cells
9280-0,Classical_KRT7,Classical PDAC
9303-0,B cells,Lymphocytes
9309-0,Classical_KRT7,Classical PDAC
9325-0,Endothelial cells,Endothelial cells
9345-0,Ductal cells,Ductal cells
9360-0,Ductal cells,Ductal cells
9389-0,Delta cells,Endocrine cells
9425-0,Classical_CEACAM,Classical PDAC
9437-0,T cells,Lymphocytes
9474-0,Classical_TFF1,Classical PDAC
9481-0,Classical_TFF1,Classical PDAC
9502-0,Endothelial cells,Endothelial cells
9504-0,Alpha cells,Endocrine cells
9509-0,myCAF_ACTA2,Fibroblasts
9517-0,Classical_KRT7,Classical PDAC
9538-0,Endothelial cells,Endothelial cells
9539-0,myCAF_POSTN,Fibroblasts
9540-0,myCAF_POSTN,Fibroblasts
9558-0,Ductal cells,Ductal cells
9568-0,Ductal cells,Ductal cells
9577-0,Schwann cells,Schwann cells
9596-0,T cells,Lymphocytes
9597-0,Basal,Basal-like PDAC
9607-0,Classical_TFF1,Classical PDAC
9616-0,Classical_CEACAM,Classical PDAC
9620-0,Classical_TFF1,Classical PDAC
9629-0,Ductal cells,Ductal cells
9652-0,Classical_TFF1,Classical PDAC
9703-0,Acinar cells,Acinar cells
9712-0,Classical_REG4,Classical PDAC
9717-0,myCAF_POSTN,Fibroblasts
9736-0,Classical_TFF1,Classical PDAC
9751-0,Endothelial cells,Endothelial cells
9753-0,Ductal cells,Ductal cells
9780-0,Endothelial cells,Endothelial cells
9805-0,Classical_CEACAM,Classical PDAC
9807-0,Beta cells,Endocrine cells
9809-0,Schwann cells,Schwann cells
9816-0,B cells,Lymphocytes
9837-0,B cells,Lymphocytes
9855-0,Classical_TFF1,Classical PDAC
9857-0,Ductal cells,Ductal cells
9858-0,Ductal cells,Ductal cells
9904-0,Macrophages_M1,Macrophages
9913-0,Macrophages_M1,Macrophages
9924-0,Acinar cells,Acinar cells
9928-0,T cells,Lymphocytes
9933-0,Macrophages_M2,Macrophages
9951-0,Ductal cells,Ductal cells
9954-0,Acinar cells,Acinar cells
9964-0,Schwann cells,Schwann cells
9965-0,Schwann cells,Schwann cells
9966-0,Acinar cells,Acinar cells
9968-0,Acinar cells,Acinar cells
9981-0,Schwann cells,Schwann cells
10006-0,Basal,Basal-like PDAC
10040-0,Acinar cells,Acinar cells
10054-0,Classical_CEACAM,Classical PDAC
10068-0,Schwann cells,Schwann cells
10085-0,Ductal cells,Ductal cells
10089-0,T cells,Lymphocytes
10105-0,Schwann cells,Schwann cells
10110-0,Ductal cells,Ductal cells
10118-0,Classical_KRT7,Classical PDAC
10145-0,Macrophages_M1,Macrophages
10149-0,Alpha cells,Endocrine cells
10155-0,Beta cells,Endocrine cells
10167-0,Classical_CEACAM,Classical PDAC
10187-0,NK cells,Lymphocytes
10197-0,T cells,Lymphocytes
10203-0,Schwann cells,Schwann cells
10217-0,Basal,Basal-like PDAC
10261-0,Basal,Basal-like PDAC
10270-0,NK cells,Lymphocytes
10304-0,B cells,Lymphocytes
10314-0,Basal,Basal-like PDAC
10335-0,Beta cells,Endocrine cells
10338-0,Acinar cells,Acinar cells
10339-0,Endothelial cells,Endothelial cells
10355-0,myCAF_POSTN,Fibroblasts
10360-0,Classical_TFF1,Classical PDAC
10361-0,Classical_CEACAM,Classical PDAC
10367-0,Ductal cells,Ductal cells
10375-0,Macrophages_M1,Macrophages
10378-0,Ductal cells,Ductal cells
10388-0,Endothelial cells,Endothelial cells
10391-0,B cells,Lymphocytes
10407-0,Classical_CEACAM,Classical PDAC
10429-0,Classical_TFF1,Classical PDAC
10440-0,Endothelial cells,Endothelial cells
10454-0,Acinar cells,Acinar cells
10468-0,Alpha cells,Endocrine cells
10474-0,Classical_TFF1,Classical PDAC
10477-0,Ductal cells,Ductal cells
10488-0,myCAF_POSTN,Fibroblasts
10492-0,Ductal cells,Ductal cells
10500-0,Classical_CEACAM,Classical PDAC
10519-0,B cells,Lymphocytes
10565-0,Classical_TFF1,Classical PDAC
10566-0,Delta cells,Endocrine cells
10579-0,Ductal cells,Ductal cells
10592-0,Ductal cells,Ductal cells
10601-0,Acinar cells,Acinar cells
10610-0,B cells,Lymphocytes
10618-0,myCAF_POSTN,Fibroblasts
10710-0,Classical_TFF1,Classical PDAC
10711-0,B cells,Lymphocytes
10712-0,Ductal cells,Ductal cells
10725-0,Classical_CEACAM,Classical PDAC
10727-0,T cells,Lymphocytes
10743-0,T cells,Lymphocytes
10745-0,Endothelial cells,Endothelial cells
10749-0,Endothelial cells,Endothelial cells
10755-0,Alpha cells,Endocrine cells
10772-0,Classical_KRT7,Classical PDAC
10778-0,Classical_KRT7,Classical PDAC
10802-0,Schwann cells,Schwann cells
10830-0,Ductal cells,Ductal cells
10852-0,Classical_TFF1,Classical PDAC
10854-0,Classical_TFF1,Classical PDAC
10859-0,Endothelial cells,Endothelial cells
10860-0,Endothelial cells,Endothelial cells
10862-0,Schwann cells,Schwann cells
10878-0,Acinar cells,Acinar cells
10911-0,Classical_CEACAM,Classical PDAC
10934-0,Endothelial cells,Endothelial cells
10937-0,Beta cells,Endocrine cells
10949-0,Endothelial cells,Endothelial cells
10959-0,Ductal cells,Ductal cells
10976-0,Beta cells,Endocrine cells
10994-0,iCAF,Fibroblasts
10997-0,Acinar cells,Acinar cells
11014-0,B cells,Lymphocytes
11026-0,Ductal cells,Ductal cells
11075-0,Alpha cells,Endocrine cells
11079-0,Classical_KRT7,Classical PDAC
11093-0,Acinar cells,Acinar cells
11120-0,Acinar cells,Acinar cells
11150-0,Classical_CEACAM,Classical PDAC
11163-0,Classical_KRT7,Classical PDAC
11176-0,Beta cells,Endocrine cells
11197-0,Classical_CEACAM,Classical PDAC
11211-0,T cells,Lymphocytes
11226-0,iCAF,Fibroblasts
11241-0,Classical_TFF1,Classical PDAC
11244-0,Classical_TFF1,Classical PDAC
11256-0,Ductal cells,Ductal cells
11273-0,Acinar cells,Acinar cells
11279-0,Classical_CEACAM,Classical PDAC
11293-0,B cells,Lymphocytes
11295-0,Macrophages_M1,Macrophages
11296-0,Classical_TFF1,Classical PDAC
11307-0,Acinar cells,Acinar cells
11330-0,iCAF,Fibroblasts
11362-0,Endothelial cells,Endothelial cells
11369-0,B cells,Lymphocytes
11385-0,Delta cells,Endocrine cells
11394-0,T cells,Lymphocytes
11407-0,Basal,Basal-like PDAC
11410-0,myCAF_ACTA2,Fibroblasts
11428-0,Basal,Basal-like PDAC
11456-0,Endothelial cells,Endothelial cells
11457-0,Classical_TFF1,Classical PDAC
11480-0,Classical_KRT7,Classical PDAC
11494-0,iCAF,Fibroblasts
11495-0,Classical_TFF1,Classical PDAC
11519-0,Basal,Basal-like PDAC
11536-0,Ductal cells,Ductal cells
11539-0,Classical_CEACAM,Classical PDAC
11542-0,Ductal cells,Ductal cells
11543-0,Beta cells,Endocrine cells
11556-0,Endothelial cells,Endothelial cells
11606-0,Beta cells,Endocrine cells
11625-0,Classical_CEACAM,Classical PDAC
11631-0,Ductal cells,Ductal cells
11659-0,Ductal cells,Ductal cells
11661-0,Acinar cells,Acinar cells
11668-0,Ductal cells,Ductal cells
11691-0,Ductal cells,Ductal cells
11694-0,B cells,Lymphocytes
11704-0,Classical_TFF1,Classical PDAC
11706-0,Ductal cells,Ductal cells
11734-0,Beta cells,Endocrine cells
11742-0,Classical_KRT7,Classical PDAC
11744-0,Acinar cells,Acinar cells
11748-0,Ductal cells,Ductal cells
11757-0,Classical_CEACAM,Classical PDAC
11766-0,Macrophages_M2,Macrophages
11778-0,myCAF_ACTA2,Fibroblasts
11779-0,Endothelial cells,Endothelial cells
11783-0,Beta cells,Endocrine cells
11785-0,Classical_KRT7,Classical PDAC
11800-0,iCAF,Fibroblasts
11810-0,myCAF_POSTN,Fibroblasts
11816-0,Beta cells,Endocrine cells
11846-0,Endothelial cells,Endothelial cells
11850-0,Schwann cells,Schwann cells
11858-0,Classical_KRT7,Classical PDAC
11876-0,B cells,Lymphocytes
11896-0,Classical_TFF1,Classical PDAC
11913-0,Macrophages_M1,Macrophages
11930-0,B cells,Lymphocytes
11948-0,Classical_CEACAM,Classical PDAC
11953-0,Endothelial cells,Endothelial cells
11962-0,myCAF_POSTN,Fibroblasts
11969-0,Basal,Basal-like PDAC
12017-0,Acinar cells,Acinar cells
12027-0,myCAF_POSTN,Fibroblasts
12036-0,Acinar cells,Acinar cells
12041-0,B cells,Lymphocytes
12047-0,Basal,Basal-like PDAC
12075-0,Schwann cells,Schwann cells
12086-0,Beta cells,Endocrine cells
12090-0,Beta cells,Endocrine cells
12101-0,Ductal cells,Ductal cells
12108-0,myCAF_POSTN,Fibroblasts
12114-0,Endothelial cells,Endothelial cells
12162-0,T cells,Lymphocytes
12171-0,Classical_TFF1,Classical PDAC
12183-0,Beta cells,Endocrine cells
12200-0,Ductal cells,Ductal cells
12222-0,Ductal cells,Ductal cells
12255-0,Schwann cells,Schwann cells
12281-0,B cells,Lymphocytes
12287-0,Schwann cells,Schwann cells
12292-0,Ductal cells,Ductal cells
12315-0,NK cells,Lymphocytes
12321-0,Classical_TFF1,Classical PDAC
12333-0,T cells,Lymphocytes
12335-0,iCAF,Fibroblasts
12338-0,myCAF_ACTA2,Fibroblasts
12350-0,Classical_CEACAM,Classical PDAC
12365-0,Classical_KRT7,Classical PDAC
12378-0,Acinar cells,Acinar cells
12387-0,Classical_KRT7,Classical PDAC
12406-0,Classical_TFF1,Classical PDAC
12411-0,Classical_KRT7,Classical PDAC
12413-0,myCAF_POSTN,Fibroblasts
12436-0,Classical_KRT7,Classical PDAC
12463-0,T cells,Lymphocytes
12480-0,T cells,Lymphocytes
12483-0,Endothelial cells,Endothelial cells
12506-0,myCAF_POSTN,Fibroblasts
12521-0,Schwann cells,Schwann cells
12550-0,myCAF_POSTN,Fibroblasts
12555-0,T cells,Lymphocytes
12577-0,Endothelial cells,Endothelial cells
12606-0,Schwann cells,Schwann cells
12620-0,Classical_CEACAM,Classical PDAC
12626-0,iCAF,Fibroblasts
12629-0,Endothelial cells,Endothelial cells
12632-0,Acinar cells,Acinar cells
12639-0,Endothelial cells,Endothelial cells
12660-0,Acinar cells,Acinar cells
12690-0,iCAF,Fibroblasts
12716-0,T cells,Lymphocytes
12717-0,Classical_CEACAM,Classical PDAC
12727-0,Alpha cells,Endocrine cells
12762-0,Classical_TFF1,Classical PDAC
12764-0,T cells,Lymphocytes
12769-0,Ductal cells,Ductal cells
12779-0,B cells,Lymphocytes
12789-0,Gamma cells,Endocrine cells
12793-0,Ductal cells,Ductal cells
12818-0,Endothelial cells,Endothelial cells
12826-0,Ductal cells,Ductal cells
12835-0,Ductal cells,Ductal cells
12849-0,iCAF,Fibroblasts
12868-0,Ductal cells,Ductal cells
12876-0,Beta cells,Endocrine cells
12884-0,Beta cells,Endocrine cells
12885-0,Endothelial cells,Endothelial cells
12891-0,Schwann cells,Schwann cells
12893-0,Endothelial cells,Endothelial cells
12910-0,Acinar cells,Acinar cells
12916-0,Endothelial cells,Endothelial cells
12937-0,Alpha cells,Endocrine cells
12944-0,Macrophages_M1,Macrophages
12977-0,Ductal cells,Ductal cells
12982-0,Beta cells,Endocrine cells
12994-0,Classical_CEACAM,Classical PDAC
13003-0,T cells,Lymphocytes
13007-0,Beta cells,Endocrine cells
13011-0,Ductal cells,Ductal cells
13017-0,Macrophages_M1,Macrophages
13036-0,Classical_TFF1,Classical PDAC
13054-0,Classical_CEACAM,Classical PDAC
13080-0,Endothelial cells,Endothelial cells
13082-0,Classical_CEACAM,Classical PDAC
13106-0,Basal,Basal-like PDAC
13109-0,Beta cells,Endocrine cells
13125-0,myCAF_ACTA2,Fibroblasts
13129-0,Classical_TFF1,Classical PDAC
13158-0,Endothelial cells,Endothelial cells
13160-0,Acinar cells,Acinar cells
13195-0,Basal,Basal-like PDAC
13198-0,NK cells,Lymphocytes
13204-0,Ductal cells,Ductal cells
13210-0,Acinar cells,Acinar cells
13229-0,T cells,Lymphocytes
13235-0,Ductal cells,Ductal cells
13241-0,Endothelial cells,Endothelial cells
13270-0,Classical_CEACAM,Classical PDAC
13273-0,Ductal cells,Ductal cells
13277-0,Ductal cells,Ductal cells
13290-0,Classical_KRT7,Classical PDAC
13297-0,iCAF,Fibroblasts
13308-0,Beta cells,Endocrine cells
13311-0,Endothelial cells,Endothelial cells
13322-0,Classical_TFF1,Classical PDAC
13323-0,Endothelial cells,Endothelial cells
13328-0,Acinar cells,Acinar cells
13335-0,iCAF,Fibroblasts
13340-0,Classical_CEACAM,Classical PDAC
13342-0,Beta cells,Endocrine cells
13345-0,Ductal cells,Ductal cells
13358-0,T cells,Lymphocytes
13376-0,Ductal cells,Ductal cells
13381-0,Ductal cells,Ductal cells
13385-0,Ductal cells,Ductal cells
13387-0,T cells,Lymphocytes
13401-0,Alpha cells,Endocrine cells
13423-0,Ductal cells,Ductal cells
13427-0,Endothelial cells,Endothelial cells
13445-0,Ductal cells,Ductal cells
13448-0,Ductal cells,Ductal cells
13452-0,Endothelial cells,Endothelial cells
13454-0,Ductal cells,Ductal cells
13463-0,Endothelial cells,Endothelial cells
13488-0,B cells,Lymphocytes
13494-0,Ductal cells,Ductal cells
13495-0,Classical_CEACAM,Classical PDAC
13524-0,Classical_CEACAM,Classical PDAC
13528-0,B cells,Lymphocytes
13556-0,Schwann cells,Schwann cells
13573-0,Ductal cells,Ductal cells
13593-0,Classical_REG4,Classical PDAC
13616-0,Ductal cells,Ductal cells
13619-0,Classical_TFF1,Classical PDAC
13690-0,Beta cells,Endocrine cells
13739-0,Beta cells,Endocrine cells
13745-0,Beta cells,Endocrine cells
13770-0,Classical_CEACAM,Classical PDAC
13789-0,Classical_KRT7,Classical PDAC
13790-0,Beta cells,Endocrine cells
13799-0,Endothelial cells,Endothelial cells
13807-0,Endothelial cells,Endothelial cells
13816-0,Ductal cells,Ductal cells
13834-0,Beta cells,Endocrine cells
13840-0,Alpha cells,Endocrine cells
13842-0,Acinar cells,Acinar cells
13856-0,Ductal cells,Ductal cells
13888-0,Endothelial cells,Endothelial cells
13933-0,Ductal cells,Ductal cells
13944-0,Basal,Basal-like PDAC
13973-0,Ductal cells,Ductal cells
13989-0,Endothelial cells,Endothelial cells
14011-0,Beta cells,Endocrine cells
14064-0,Classical_TFF1,Classical PDAC
14077-0,Alpha cells,Endocrine cells
14080-0,Classical_TFF1,Classical PDAC
14082-0,Endothelial cells,Endothelial cells
14086-0,Ductal cells,Ductal cells
14095-0,T cells,Lymphocytes
14097-0,Beta cells,Endocrine cells
14103-0,Classical_KRT7,Classical PDAC
14111-0,Basal,Basal-like PDAC
14130-0,Endothelial cells,Endothelial cells
14141-0,Acinar cells,Acinar cells
14167-0,Delta cells,Endocrine cells
14200-0,Beta cells,Endocrine cells
14207-0,Ductal cells,Ductal cells
14212-0,Ductal cells,Ductal cells
14218-0,myCAF_POSTN,Fibroblasts
14236-0,Schwann cells,Schwann cells
14263-0,Ductal cells,Ductal cells
14276-0,Ductal cells,Ductal cells
14287-0,NK cells,Lymphocytes
14318-0,Ductal cells,Ductal cells
14328-0,Schwann cells,Schwann cells
14337-0,Classical_TFF1,Classical PDAC
14344-0,Ductal cells,Ductal cells
14350-0,Acinar cells,Acinar cells
14415-0,myCAF_ACTA2,Fibroblasts
14425-0,Macrophages_M1,Macrophages
14440-0,Endothelial cells,Endothelial cells
14451-0,Ductal cells,Ductal cells
14467-0,Classical_TFF1,Classical PDAC
14476-0,Schwann cells,Schwann cells
14498-0,myCAF_ACTA2,Fibroblasts
14522-0,Ductal cells,Ductal cells
14530-0,B cells,Lymphocytes
14543-0,Endothelial cells,Endothelial cells
14575-0,Ductal cells,Ductal cells
14587-0,Basal,Basal-like PDAC
14591-0,T cells,Lymphocytes
14594-0,Alpha cells,Endocrine cells
14617-0,Acinar cells,Acinar cells
14629-0,Schwann cells,Schwann cells
14645-0,Endothelial cells,Endothelial cells
14657-0,B cells,Lymphocytes
14666-0,Ductal cells,Ductal cells
14669-0,Endothelial cells,Endothelial cells
14675-0,Dendritic cells,Dendritic cells
14680-0,T cells,Lymphocytes
14693-0,Beta cells,Endocrine cells
14698-0,Ductal cells,Ductal cells
14701-0,B cells,Lymphocytes
14731-0,Classical_TFF1,Classical PDAC
14749-0,Beta cells,Endocrine cells
14762-0,Delta cells,Endocrine cells
14769-0,Ductal cells,Ductal cells
14775-0,myCAF_POSTN,Fibroblasts
14779-0,Acinar cells,Acinar cells
14781-0,Ductal cells,Ductal cells
14793-0,T cells,Lymphocytes
14795-0,Acinar cells,Acinar cells
14807-0,Classical_CEACAM,Classical PDAC
14839-0,Alpha cells,Endocrine cells
14850-0,Endothelial cells,Endothelial cells
14854-0,Acinar cells,Acinar cells
